企业名称,企业logo,细分领域,细分领域（补充）,企业简介,产品介绍,企业优势tag,产品图片1,产品图片2,产品图片3,其他,fellow姓名,fellow联系方式
√北京象信智能科技有限公司,,场景应用,"场景应用,内容安全",象信AI致力于打造可信赖的AI，基于象信大模型和智能体，可一键翻译视频，保留原音色，支持多语言互译，长视频，突破视频译制的技术边界，赋能多元化内容创作，可为不同行业的客户提供专业的AI语音解决方案，让每个人都能轻松流利的说外语。,"

象信AI译制：用AI将视频中的外语语音直接转换为用户的母语，保持原声的音色、情感和语气， 让观众能够更自然地理解和感受内容。
  
",AI视频翻译；多语种支持；原声配音,,,,,辛雅倩,15210343977
√高质信同(北京)科技有限公司,,场景应用,场景应用,大同搜索（datong.info）是一个跨语言搜索引擎，为你提供不受语言限制的互联网浏览体验。它能找到来自不同语言的高质量信息，并基于它们生成AI回答。大同默认同时搜索英文和中文网页，在科学科普、学科专业知识、英文官网查询上结果质量格外好。,大同搜索致力于提供科学可靠、没有门槛的高质量信息。作为罕见病患者家属，大同搜索的创始人发现，英文互联网上有许多高质量的医疗科普信息，而中文使用者却难以找到它们。大同搜索由此诞生，我们希望所有人都能轻松获取任何语言的高质量信息，使得信息大同。,"翻译; 
英文搜索;      
高质量信息源;",,,, 来自Google的技术团队，获奇绩创坛天使投资，多项专利在申,杨超辰,18810890511
√北京聚义通教育科技有限公司,,场景应用,场景应用,公司致力于AI教育领域，团队8名核心成员均有过多次成功创业经验，教研团队15名优秀教师也均来自名校毕业班、前学而思、高徒等知名机构，教师队伍还在不断扩大，AI系统产品结合优质教师团队为用户提供教学服务保障。,通过卓越的AI能力加场景化的学习模式，为用户提供精准的、定制化的学习内容；通过英文学习-数学与物理学习-AI知识输入-培养与输送科技型创新人才；通过AI能力对内容进行分层与切片，系统收集用户学习特征与偏好，生成阶段性的学习成长曲线，匹配对应知识图谱与教师为伍，研发教师与品牌IP内容运营主页。,"AI教育；
优质教师团队；",,,,,杨超辰,18810890511
√拉玛羊驼一号（上海）智能科技有限公司,,场景应用,模型,拉玛羊驼业务围绕 AI+ 游戏，致力于打造游戏行业的 AI Agent，提供游戏行业所需要的多种 AI 服务。,拉玛羊驼的第一款产品，为自然语言生成 UGC 游戏中的可互动元素的 API，此产品可以让 UGC 的新手玩家，在创作游戏的第一分钟，便达到老鸟水平，降低用户使用门槛。,AI 游戏创作；游戏AI；,,,,,杨超辰,18810890511
√北京唯识万象科技有限公司,,场景应用,"模型,算法",唯识万象（Unichr AI）是一家专注于人工智能前沿领域的科技创新公司，以大语言模型为基础，实现智能体之间的协同，推动个人和企业的生产力变革。,致力于通过构建和编排智能体（Agents）来模拟人类思维和协作。,"RAG技术；大语言模型；
智能体构建；",,,,,杨超辰,18810890511
√北京脑仁科技有限公司,,场景应用,第三方服务,脑仁科技是一支专注于自适应性生成Agent框架研发及应用的团队。团队成员具有丰富的研发及商业经验，立足于从大模型和Agent技术的融合Infra层出发，将最前沿的AI技术与客户需求结合，最大化AI及Agent技术的落地效能。,结合我们构建的Agent应用知识库，采用Brainstem框架，能够自动生成大量通用或简单场景需求的Agent应用 ，可以以等形式以较低成本大量提供给各种用户。,自适应生成；框架研发落地；,,,,,杨超辰,18810890511
√北京益渡智能科技有限公司,,场景应用,场景应用,"
北京益渡智能科技有限公司（ChatEDU）通过ChatEDU大模型为学生提供专业的高考志愿填报、学业规划、选校建议等一站式教育咨询服务，通过前沿科技铸造教育领域信息化高新企业，为学生提供更智能、更贴心的教育解决方案。",为学生提供专业的高考志愿填报、学业规划、选校建议等一站式教育咨询服务，不仅可以覆盖K12教育、高考志愿填报、生涯规划，未来还将包括考研、留学、就业等一系列产品服务。,大模型；教育咨询；,,,,ChatEDU的团队来自于清华、北大、康奈尔等全球顶尖高校，拥有跨学科的教育和科技专业人才队伍，集合了上百位教育领域专家、资深从业者、高校优秀学生。,杨超辰,18810890511
√米塔科技有限公司,,场景应用,,米塔视界—源自清华校园的创新企业，由共青团清华大学委员会与清华大学x-lab共同孵化，深耕AI与前沿光学两大核心技术。我们率先实现AI与全球领先的无介质空中成像、裸眼3D显示的深度融合，颠覆了传统平面屏幕的局限，让人机交互真正迈入三维沉浸与实时互动的未来视界。," 面向商业、教育、医疗等多元领域，米塔视界提供从硬件到AI交互与内容制作的一体化解决方案：
•  商业场景：以三维视觉革命重塑沉浸式文旅、广告、零售行业品牌展示与消费体验；
•  教育领域：构筑“空中课堂”与“数字名师”，助力教育智能化升级；
•  医疗应用：通过三维可视化与AI辅助，加速医疗仿真教学的精准化、智能化迭代。",裸眼3D；三维沉浸；实时互动；,,,,,杨超辰,18810890511
√北京清北智源科技有限公司,,场景应用,,专注人工智能赋能教育的创新性企业，核心创始团队来自清华及北大，与清华大学语音及智能研究所战略合作。主要业务产品是提供安全可信语音类大模型平台产品，目前主要为学校及政府用户提供专业的智慧教室、实训室、会议室及管理中心的解决方案，并通过人工智能技术实现教学或管理辅助，帮助用户实现数字化转型。,核心技术包括提供一种面向大模型的声纹识别方法、一种面向语音生成大模型的安全可信伪造音检测方法、一种语音生成大模型的安全可信技术、一种语音识别大模型的前端感知技术、一套声纹识别训练数据资源。,"AI教育赋能；
语音类大模型；
教学管理辅助；",,,,团队参与Google总部技术交流、清华启迪、碳9资本交流，参与了人民日报社“中央厨房”、中国国际进口博览会、70周年国庆阅兵等国家重大项目信息化设计，具有丰富的行业实践经验及理论基础。,杨超辰,18810890511
√北京小狗汪汪科技有限公司,,场景应用,,小狗汪汪Puggy Agent成立于 2024 年初，目前致力于把 Agent 能力引入到企业场景。提供 AI Agent powered 企业级自定义知识库构建工具，以及自定义企业级搜索引擎，探索未来的人工智能与人共同的社会生产协作模式。从做开源的 AI Agent 搜索做起，使用户可以短期内高效地定义与部署自己的 agent，并提供 agent 与 agent，agent 与人的协作协议。提供 all-in-one 的 agent 与人协作产品与平台。,"PuppyEngine: 专为 Agent 设计的搜索引擎 (pending)；
Puppys: 适合复杂场景的 Code-Based 的 Agent 框
架；",Agent；框架；搜索,,,,,杨超辰,18810890511
√ 北京哼哼唧唧科技有限公司,,场景应用,c端,哼哼唧唧科技有限公司，由top高校成员组成的顶尖核心团队，致力于打造最人性化的AIc端产品，公司着眼于陪伴、娱乐等市场，2024年进入奇绩创坛秋季创业营，获得种子轮融资。,核心产品poppaws.ai，从kpop市场切入，在韩娱偶像空白期，以kpop常见动物塑桌宠形式给粉丝提供陪伴和情绪价值。产品包含多种功能，包括但不限于聊天、语音、换装、桌面交互等。,"情感陪伴；
互动交流；                 
",,,,,于剑楠,13683316933
√ 北京无为智能科技有限公司,,场景应用,商业搜索、市场情报、企业数据,无为数智（INACTION-AI）致力于打造便捷高效的市场研究AI助手，结合深刻的行业洞察和独特的另类数据见解，利用大语言模型（LLM）和检索增强生成（RAG）技术，加速推动企业更快地实现其核心价值和使命。,Aisou.ai是一个专注于企业信息的智能搜索平台，通过整合新闻、公司信息和知识库等内容，为用户提供一个全面、便捷的商业信息搜索服务。,"
RAG技术；
大语言模型；
商业搜索；",,,,无为公司（inaction-ai）致力于打造AI驱动的市场情报和搜索平台，旗下产品包括商业信息智能搜索平台Aisou.ai（toC产品）、一站式市场情报平台Aisou.top（toB产品）。,于剑楠,13683316933
√ 北京超智能科科技有限公司,,场景应用,场景应用,"
超智能科是一家以AIGC课程生产与服务为主，专注于为企业培训、政府培训、中小学、高校、教育机构、出版社以及IP知识博主提供一站式AIGC课程生产平台解决方案，助力企事业单位实现数字化、数智化转型的人工智能创新企业。",基于AI+技术的“一站式、可视化”内容生成和智能驱动平台，主要功能有AIGC智能备课，AIGC生成课程讲义内容，跨课程、跨专业知识图谱助力交叉学科学习、智能助教伴学等。其子产品包括AI数字人老师定制、AI数字人语音克隆、AI课程知识库定制、AIGC录播课生成、AIGC互动课生成等。,AIGC教育;知识传递；AI数字人；,,,,"创始人兼CEO杨建刚毕业于西安交大&北京大学,团队成员均来自于IDEA研究院、微软、阿里云、百度、美术宝等知名企业，共同构成了超智能科的核心竞争力。
",于剑楠,13683316933
√ 北京星伴纪元科技有限公司,,场景应用,场景应用,"
星伴纪元是一家专注于创新情感陪伴体验的科技公司，致力于帮助用户在数字世界中找到情感共鸣。","
Heartchat.AI是一款AI情感陪伴应用，在全球孤独感增加和数字化生活方式兴起的背景下，通过先进的自然语言处理技术和情感分析技术，使用户获得更高的创作自由度以及富有深度的游戏化情感互动与陪伴体验。","AI情感陪伴；
游戏化互动；
聊天机器人；",,,,,于剑楠,13683316933
 √博特智能,,第三方服务,"大模型备案,算法备案",博特智能专注于大模型与算法备案合规咨询服务，致力于为企业提供专业、高效的合规解决方案。凭借对法律法规的深刻理解与扎实的技术实力，我们已成功服务政务、金融、教育、互联网、广电等多个行业，积累了丰富的实践经验，成为企业智能化合规发展的可靠伙伴。,提供大模型&算法备案服务，包括大模型安全评测、安全评估报告撰写、协助甲方提交材料，配合主管部门线上或现场检查答疑等。,一站式服务；高质高效；案例丰富,,,,"公司核心研究团队来自中国科学院多个重点实验室，80%以上拥有硕博学位。
自2020年成立以来，始终坚持核心技术自主研发，积累数十项知识产权。",霍昺阳,19931045178
√通商律师事务所,,第三方服务,第三方服务,通商律师事务所是一家深耕中国，服务世界，且位居国内领先的“红圈”律师事务所。拥有超过800名法律专业人士，在资本市场、兼并收购、私募股权、投资基金、争议解决、监管、劳动、新经济、财富管理、知识产权等领域均建立了斐然的声誉。,提供股权架构设计、员工股权激励、股权融资、境内外上市、收购兼并、企业出海、诉讼仲裁、日常法律咨询等法律服务,"法律服务;
反馈迅速；
平价收费；",,,,"团队为上百家创业企业的融资、股权结构重组、境内外上市、员工股权激励计划、对外合资、日常经营等事项提供法律服务，团队律师具有计算机专业背景，TMT领域具有丰富的项目经验；
服务的创业企业包括musical.ly (Tik Tok)、Momenta、SheIn、出门问问、基流科技、智能买手、威胜信息、广联数科、2Noise、盒智科技等。",霍昺阳,19931045178
√星海图,,具身智能,,"星海图（北京）人工智能科技有限公司成立于023年9月，是一家专注于打造“一脑多形”具身智能机器人的公司。坚持AI算法与本体协同研发的发展思路，从技术的边界和场景的需求出发定义本体形态，自主设计并制造本体，实现从端到端AI算法、具身本体、核心模组及场景解决方案全栈自研，并基于每一代的智能体产品探寻具身智能的Scaling Law，以此迈向通用具身智能的星辰大海。
","Alaxea R1是一款全尺寸双臂人形机器人，具有高达2米的垂直操作范围和700毫米的水平操作半径。它配备了两个6自由度轻质和高动态性能的Galaxea A1机器人手臂和两个Galaxea G1夹爪，确保在各种操作环境中具有出色的机动性和适应性。
Galaxea A1是一款轻量级力控机器人手臂，以其卓越的动态性能和显著的高负载能力而闻名。这种尖端技术使其成为需要微妙交互的复杂应用的最佳选择。",具身智能本体；开放开源；,,,,"公司荣登2024中国最具价值AGI（通用人工智能）创新机构Top50榜单。
已获得由多家顶级VC机构共同参与的天使轮融资。
星海图是国内唯一一家同时拥有两位世界级具身智能算法科学家、清华叉院助理教授的具身智能创业公司，让公司拥有在具身智能领域感知、移动和操作方向全球最前沿的技术理解和创新能力，同时，公司也与全球顶尖的科学家及创业团队有着紧密联系，为公司的前进方向提供了宝贵的全球视角。另外核心团队还集结了具有丰富创新技术产品落地及自动驾驶量产经验的实践方，共同攻克具身智能技术难度大、复杂度高、学科跨度广的挑战。",辛雅倩,15210343977
√北京灵生科技有限公司,,具身智能,,北京灵生科技有限公司成立于2023年02月14日，是一家具身智能机器人研发商，主要基于自创的多模态感知融合、决策和执行一体化系统，构建新一代人形和具身智能机器人通用类脑。其中云-边-端一体化类脑（Ling Cybrain）是其在机器人具身智能领域的核心竞争力。,具身大模型S0 ：S0赋予机器人双手操作的卓越能力，机器人能够实现基础动作的泛化与涌现，涵盖物品抓取、放置、推拉等操作。此外，S0可对机器人动作进行自动化编排，并完成动作的在线仿真，最终实现从仿真到真机运行的无缝过渡。核心优势在于通过大脑与环境的持续互动，不断优化决策过程，依据环境反馈的信息，精准判断自身行为的正确性及与目标的接近程度，构建通用目标函数，从而实现长程任务决策的快速收敛。,"具身大模型；
AI通用类脑；
多模态感知；",,,,通过海量RealData+仿真数据的高效训练，S0赋予机器人双手操作的卓越能力，成功攻克传统方法在长程任务中泛化性能差、鲁棒性弱的难题。通过离线和实时仿真，涵盖各类极端和罕见场景CornerCase，再利用数据增强技术扩充数据，结合真实数据进行联合训练，借助真实数据的可用性精确性来弥补仿真数据的不足，提高复杂任务和高精巧操作泛化成功率。,杨超辰,18810890511
"   
√ 北京深言科技有限责任公司
 
 
 
 ",,模型,模型,深言科技由清华大学自然语言处理实验室与北京智源人工智能研究院共同孵化，是国内最早开展大模型研发与探索大模型落地的创业公司之一。创始人岂凡超为清华计算机系博士，发表顶级论文30余篇，申请发明专利 20余项；首席科学家孙茂松教授为清华人工智能研究院常务副院长，欧洲科学院院士。截至目前，深言科技已获4轮来自红杉、腾讯、好未来等顶级投资机构与龙头企业的数亿元融资。,"语鲸：AI阅读辅助产品上线，打造沉浸式阅读体验
语鲸是基于自主研发的语鲸大模型打造的全新AI阅读辅助产品；
深言达意：可根据模糊描述，为写作提供了便利和创作灵感，找词找句的智能写作工具。产品核心功能“据意查词查句”，可以实现高效准确找到与输入意思相关的好词好句。",AI总结、超低幻觉、个性化资讯,,,,"北京市第三批“伙伴计划”模型伙伴
国家高新技术企业认定
北京市“创新型”中小企业
中关村高新技术企业
科技型中小企业
2024 世界经济论坛「全球技术先锋」
2024 中国生成式AI企业TOP50
2023 创业邦100未来独角兽
2023 中国国际大学生创新大赛北京赛区冠军、全国亚军
2023 创客北京人工智能行业一等奖
2022 CITC·网易创新创业总决赛冠军",王珅,13141371727
√ 北京智谱华章科技有限公司,,模型,"数据,算力,算法", 以“让机器像人一样思考”为愿景，智谱致力于打造新一代认知智能大模型，专注于做大模型的中国创新。公司于 2020 年底研发 GLM 预训练架构，2021 年训练完成百亿参数模型 GLM-10B，同年利用 MoE 架构成功训练出收敛的万亿稀疏模型，2022 年研发了中英双语千亿级超大规模预训练模型 GLM-130B 并开源。2023 年，智谱推出千亿基座对话模型 ChatGLM 并两次升级，开源版本的 ChatGLM-6B 让大模型开发者的本地微调和部署成为可能，在开源社区受到广泛欢迎。目前，智谱开源模型系列全球累计下载量超过 3000 万，并入选 Hugging Face 平台最受欢迎人工智能机构。,智谱清言：作为 AI 生成式助手，是国内首批通过《生成式人工智能服务管理暂行办法》备案的大模型产品。它可以应用于对话生成、多模态内容生成等场景，根据用户输入的文本内容，生成对话文本回复、文本、代码等形式的答案，为用户提供各种智能服务。2024 年 7 月，智谱清言宣布上线 AI 视频模型“清影”，用户使用该功能需开通付费会员。,多模态能力；深度思考；大模型；,,,,,辛雅倩,15210343977
√北京生数科技有限公司,,模型,模型,北京生数科技有限公司成立于2023年3月，是全球领先的自主研发多模态通用大模型的人工智能企业 ，布局 MaaS（模型即服务）与应用级产品，面向艺术设计、游戏制作、影视动画、社交娱乐等领域提供赋能，用 AI 提升每个人的创造力和生产力。,Vidu是生数科技联合清华大学发布的中国首个原创全自研，长时长、高一致性、高动态性的视频大模型，目前已面向全球上线。目前Vidu支持文生视频、图生视频、参考生视频三大核心功能，最长支持8s时长视频生成，分辨率最高达1080P。Vidu在推理速度、一致性、动态性、语义理解等方面具备领先优势。,极致推理；高一致性；指令遵循能力；,,,,,辛雅倩,15210343977
